Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
sjeng_IA1	10.281079	0.121908	0.000020	0.998736
sjeng_IA2	10.281376	0.121908	0.000019	0.998739
sjeng_IA4	10.281363	0.121908	0.000019	0.998741
sjeng_IA8	10.281271	0.121908	0.000019	0.998741
sjeng_IA16	10.281297	0.121908	0.000019	0.998741
sjeng_IA32	10.281297	0.121908	0.000019	0.998741
sjeng_DA1	10.281079	0.121908	0.000020	0.998736
sjeng_DA2	10.280602	0.121832	0.000020	0.999970
sjeng_DA4	10.280456	0.121831	0.000020	0.999978
sjeng_DA8	10.280432	0.121831	0.000020	0.999979
sjeng_DA16	10.280458	0.121831	0.000020	0.999979
sjeng_DA32	10.280519	0.121831	0.000020	0.999979
sjeng_2A1	10.280297	0.121908	0.000020	0.998736
sjeng_2A2	10.281079	0.121908	0.000020	0.998736
sjeng_2A4	10.280913	0.121908	0.000020	0.998736
sjeng_2A8	10.280411	0.121908	0.000020	0.998736
sjeng_2A16	10.280297	0.121908	0.000020	0.998736
sjeng_2A32	10.278276	0.121908	0.000020	0.998736
sjeng_IS8	10.282743	0.121907	0.000154	0.997922
sjeng_IS16	10.282886	0.121907	0.000149	0.997951
sjeng_IS32	10.283175	0.121908	0.000021	0.998728
sjeng_IS64	10.281079	0.121908	0.000020	0.998736
sjeng_IS128	10.283194	0.121908	0.000019	0.998738
sjeng_DS8	10.286385	0.122277	0.000020	0.992731
sjeng_DS16	10.282384	0.122009	0.000020	0.997078
sjeng_DS32	10.281079	0.121908	0.000020	0.998736
sjeng_DS64	10.280767	0.121858	0.000020	0.999545
sjeng_DS128	10.278383	0.121834	0.000020	0.999941
sjeng_2S256	10.281800	0.121908	0.000020	0.998738
sjeng_2S512	10.281079	0.121908	0.000020	0.998736
sjeng_2S1	10.279956	0.121908	0.000020	0.998736
sjeng_2S2	10.281800	0.121908	0.000020	0.998738
sjeng_2S4	10.272039	0.121908	0.000020	0.998736
sjeng_DL16	33.489496	0.487333	0.000029	0.999871
sjeng_DL32	17.659744	0.243704	0.000022	0.999601
sjeng_DL64	10.281079	0.121908	0.000020	0.998736
sjeng_DL128	6.810536	0.061046	0.000014	0.995836
sjeng_DL256	5.181412	0.030659	0.000011	0.987310
